name,expertise,phone,hourlyRate,schedule
Byram Puddicombe,boxing,992-387-1303,43.82,Fri: 14:00-16:00
Rossy Alwin,spin,532-984-2488,48.86,Mon: 12:00-14:00
Dodie Piburn,swimming,312-993-8752,95.43,Mon-Wed: 16:00-18:00
Tory Crews,aerobics,235-647-3229,38.83,Mon-Wed: 11:30-13:30
Melita Redman,powerlifting,287-108-8696,86.26,Wed: 10:00-14:00
Marnia Studders,crossfit,976-901-8622,38.73,Wed: 13:00-15:00
Danielle Taggert,spin,723-240-7303,60.57,Mon-Wed-Fri: 9:00-11:00
Raoul Mounsie,bootcamp,893-932-4945,71.24,Wed-Fri: 15:00-17:00
Consolata Avramov,functional training,769-282-4405,43.4,Mon-Thu: 16:00-18:00
Tori Solano,bootcamp,792-102-4817,64.43,Thu-Fri: 17:00-19:00
Curcio McGilleghole,powerlifting,550-686-7420,76.49,Tue-Thu: 12:00-14:00
Jephthah Gardener,TRX,346-385-3818,85.33,Mon-Tue-Thu: 9:30-11:30
Windy Gorges,TRX,826-863-5234,88.94,Mon: 8:30-10:30
Andie Stoyle,boxing,279-639-6335,61.19,Mon-Wed: 11:30-13:30
Marlin Dorin,cycling,577-131-8535,62.51,Mon-Wed: 11:30-13:30
Stevana Evreux,cardio,941-969-1613,94.15,Mon-Tue-Thu: 9:30-11:30
Sigismondo Wedgwood,barre,205-748-4282,56.61,Wed-Fri: 15:00-17:00
Farand Craig,aerobics,367-923-9598,51.53,Tue-Fri: 18:00-20:00
Diahann MacKniely,zumba,387-658-0834,54.4,Tue-Thu: 13:00-15:00
Stu Ogbourne,dance,313-938-6352,91.3,Mon-Fri: 8:00-12:00
Davon Pepin,bootcamp,844-381-7686,42.2,Tue-Fri: 18:00-20:00
Tildi Janny,strength training,486-256-5761,67.79,Mon-Wed: 11:30-13:30
Gareth Checchetelli,pilates,267-783-4110,44.99,Tue: 9:00-10:30
Lou Devenny,powerlifting,331-814-0434,69.31,Mon-Tue-Thu: 9:30-11:30
Violante Mignot,strength training,963-436-6000,63.85,Wed: 10:00-14:00
Selinda Skelding,pilates,428-163-8691,68.5,Wed-Fri: 15:00-17:00
Sydney Haryngton,spin,345-651-1391,99.98,Mon-Thu: 16:00-18:00
Art Daniells,strength training,203-692-4048,81.48,Tue: 14:00-16:00
Valaree Ugoni,spin,223-732-9062,40.96,Mon-Fri: 7:00-9:00
Clerc Lagen,pilates,523-535-6546,91.28,Mon-Wed-Fri: 9:00-11:00
Monah Kitching,pilates,229-349-4444,36.33,Tue-Thu: 12:00-14:00
Tedra Dryden,functional training,535-412-4804,81.08,Mon-Fri: 8:00-12:00
Bernardine Tithecott,dance,174-797-3000,84.71,Mon: 12:00-14:00
Sansone Rabbet,crossfit,491-216-3924,84.24,Mon-Fri: 8:00-12:00
